,Author,Books,Year Published,Pages
66,Rosemary Lucas,Lord of the Rings,1676,3290
67,Rosemary Lucas,Girl with the Dragon Tattoo,1564,4141
68,Rosemary Wright,Shadows of the Night,1724,4554
69,Tyrone Evans,Maze Runner,1721,4537
70,Randy Parker,Midnight Garden,1776,343
71,Eric Davis,Silence of the Lambs,2016,1753
72,Michelle Wis,Knight's Code,1571,1523
73,Anthony Lee,Last Train Home,1670,4015
74,Teresa Ray,Enchanted Princess,1834,1264
75,Victor Davis,Girl with the Dragon Tattoo,1661,4467
76,Juan Thompson,Enchanted Castle,1940,4508
77,Dana Huff,Dragon's Lair,1817,2922
78,Sherry Bennett,Dragon's Eye,1603,2222
79,Deanna Owens,Book of Miracles,1692,3856
80,Beatrice Ortiz,Girl with the Dragon Tattoo,1561,1776
81,Teresa Ray,Midnight Garden,1864,3150
82,Erin Gonzales,Martian,1825,1384
83,Emily Moore,Secret Life of Bees,1885,2792
84,Jeffrey Williams,Curse of the Pharaohs,1866,4790
85,Leonard Stevenson,Mists of Avalon,1756,2290
86,Patricia Meyer,Secret Life of Bees,1852,3738
87,Erin Gonzales,Secret Society,1534,4334
88,Lauren Holland,Glass Castle,1863,1475
89,Jessie Bowman,Knight's Code,1905,893
90,Evelyn Smith,Witch of Blackbird Pond,1635,3877
91,Connie Howell,Song of Achilles,1896,1477
92,Eric Davis,Lighthouse Keeper,1820,1491
93,Frances Rose,Glass Castle,2018,138
94,Frances Rose,Mists of Avalon,1750,3379
95,Beatrice Ortiz,Cursed Castle,1692,454
96,Thomas Simmons,Shadows of the Night,1757,4623
97,Megan Knight,Mirror of Truth,1891,628
98,Teresa Ray,In the Arms of the Sea,1730,2126
99,Kimberly Medina,Secret Key,1558,1050
100,Melissa Hall,Last Voyage,1906,3510
101,Leah Manning,Forbidden Forest,1527,3457
102,Paul Graham,Lord of the Rings,1751,3529
103,Derrick Brady,Secret Society,1523,3851
104,Leah Manning,Handmaid's Tale,1699,3118
105,Juan Thompson,Beneath the Silver Moon,1540,3407
106,Eva Wright,Pirate's Treasure,1930,4654
107,James Ross,Rising Sun,1824,4652
108,Albert Mills,Dragon's Roar,1514,3498
109,Thomas Simmons,Edge of Tomorrow,1900,2810
110,Rosemary Wright,Girl on the Train,1604,3569
111,Melissa Hall,Lighthouse Keeper,1632,4646
112,Gary Johnson,Lord of the Rings,2009,4599
113,Helen Hernandez,Whispering Wind,1855,998
114,Thomas Simmons,Dark Tower,1839,4204
115,Michelle Johnson,Whispering Wind,1505,3608
116,Timothy Griffin,Moonlit Path,1982,3792
117,William Doyle,Crown of Thorns,1889,1045
118,Cindy Gilbert,Secrets We Keep,1683,1308
119,Connie Howell,Dragon's Lair,1606,4148
120,Lauren Holland,Phantom of the Opera,1687,4696
121,Tracey Walker,Warrior's Heart,1506,693
122,Richard Garcia,Mists of Avalon,1626,2025
123,John Ryan,Fire Within,1914,1231
124,Judy Rose,Silence of the Lambs,1610,754
125,Nancy Horton,Witch of Blackbird Pond,1834,3982
126,Erin Gonzales,Great Gatsby,1854,4188
127,Lauren Holland,Lost City of Atlantis,1776,2948
128,Tracey Walker,Da Vinci Code,1883,3989
129,Michael Smith,Sands of Time,1833,895
130,Leonard Stevenson,Alchemist,1696,2680
131,Lydia Martinez,Echoes of the Past,1653,2943
132,Sandra Craig,White Queen,1696,254
133,Lydia Martinez,Tears of the Moon,1933,2554
134,Frances Rose,Secret Society,1854,3390
135,Patricia Meyer,In the Arms of the Sea,1691,1946
136,Michelle Wis,Forgotten Realm,1568,4933
137,Victor Davis,Alchemist,1838,1012
138,Patricia Meyer,Golden Child,1751,2588
139,William Doyle,Queen's Gambit,1939,2598
140,Virginia Jackson,Beyond the Horizon,1817,3248
141,Emily Moore,Art of Deception,1947,2905
142,Michael Martinez,Giver,1972,1957
143,William Hamilton,Giver,1834,3518
144,Melissa Hall,Catcher in the Rye,1714,3268
145,Eric Davis,Shades of Grey,1744,622
146,Rita Powell,Knight's Code,1949,4275
147,Dana Huff,Twist of Fate,1775,869
148,Edward May,Tears of the Moon,1976,3646
149,Carol Sullivan,Great Gatsby,1629,3328
150,Victoria Brown,Witch of Blackbird Pond,1684,4893
151,Carol Sullivan,Dark Tower,1805,1553
152,Emily Moore,Handmaid's Tale,1641,749
153,Teresa Ray,Golden Child,1844,3353
154,Christine Miles,Song of Ice and Fire,2003,1550
155,Robert Evans,Enchanted Princess,1749,2947
156,Victor Davis,Rising Sun,1767,4574
157,Maria Webb,Lost Kingdom,1955,4618
158,Rosemary Lucas,Enchanted Princess,1611,3578
159,Anthony Lee,Dragon's Roar,1564,2749
160,Eva Wright,Silence of the Lambs,1535,2471
161,Virginia Jackson,Giver,1720,3011
162,William Hamilton,Wonders of the World,1523,173
163,Virginia Jackson,Glass Castle,1922,4386
164,Timothy Griffin,Lost City of Atlantis,1894,1797
165,Teresa Ray,Catcher in the Rye,1543,4538
166,Nancy Horton,Twist of Fate,1885,3721
167,Edward May,Beyond the Horizon,1870,4191
168,Michael Martinez,Midnight Garden,1730,607
169,Diana Terry,Twist of Fate,1576,1525
170,Melissa Hall,Enchanted Castle,1509,2517
171,Thomas Simmons,Secrets We Keep,1631,3095
172,Wendy Walton,Giver,1695,1355
173,Michelle Wis,Lost Kingdom,1943,4942
174,Ann Henderson,Valley of Dreams,1825,2873
175,Laura Hernandez,Enigma of Love,1646,3591
176,Janet Baldwin,Shadow of the Moon,2013,2486
177,Michael Martinez,Emerald Isle,1554,4904
178,Tracey Walker,Witching Hour,1550,4931
179,Dana Huff,Book of Miracles,1552,1705
180,William Ortiz,Shades of Grey,1810,2287
181,Ella Harrison,Crystal Caves,1585,3130
182,Delores Brown,Golden Child,1717,1150
183,Kelly Franklin,Shadows of the Night,1871,1854
184,Frances Rose,Ruby Red Door,1899,3818
185,Patricia Simpson,Black Cat,1576,2576
186,Randy Parker,Island of Secrets,1970,4791
187,Victoria Brown,In the Arms of the Sea,1696,3161
188,Erin Gonzales,Tears of the Moon,1911,143
189,Maria Webb,Maze Runner,1970,4568
190,Robert Evans,Queen's Gambit,1643,4167
191,Laura Hernandez,Midnight Garden,1733,4001
192,Thomas Cain,Warrior's Heart,1785,4400
193,Anthony Davis,Secret Key,1987,648
194,Mary Abbott,Glass Castle,1660,501
195,Edward May,Art of Deception,2019,1669
196,Patricia Simpson,Girl with the Dragon Tattoo,1858,562
197,Erin Gonzales,Kite Runner,1593,3553
198,Ashley Doyle,Secret Society,1565,3676
199,Lydia Martinez,Shadows of the Night,1538,1496
200,John Ryan,Witch of Blackbird Pond,1546,1049
201,Rosemary Wright,Queen's Necklace,1874,3698
202,Patricia Simpson,Forgotten Realm,1888,4253
203,Edward May,Fault in Our Stars,1746,194
204,Jessie Bowman,Road,2023,4880
205,Patrick Hall,Girl on the Train,1731,774
206,Helen Hernandez,Tears of the Moon,1998,3479
207,Jeffrey Williams,Song of Achilles,1854,4861
208,Patricia Simpson,Book Thief,1788,1200
209,Patricia Simpson,Whispers in the Dark,1865,4071
210,Patricia Meyer,Witching Hour,1615,2357
211,William Ortiz,Handmaid's Tale,1640,4536
212,Tracey Walker,Queen's Necklace,1890,2418
213,Rita Powell,Glass Castle,2009,976
214,John Ryan,Lost City of Atlantis,1714,2735
215,Janet Baldwin,Heart of the Forest,1864,1137
216,Teresa Ray,Echoes of the Past,1690,4877
217,Charles Johnson,Knight's Code,2005,1880
218,Ernest Torres,Sands of Time,1700,109
219,Sandra Craig,Emerald Isle,1939,3999
220,Frances Rose,Ruby Red Door,1570,4137
221,Barbara Farmer,Secret Society,1696,1928
222,Cindy Gilbert,Kite Runner,1747,3881
223,William Doyle,Road,2017,1852
224,Juan Thompson,Handmaid's Tale,1913,320
225,William Ortiz,Secret Garden,1666,3272
226,Eva Wright,Catcher in the Rye,1919,3530
227,Janet Baldwin,Heart of the Forest,1546,4536
228,Emily Moore,Hunger Games,1685,1730
229,Thomas Simmons,Curse of the Pharaohs,1742,1116
230,Nancy Horton,Girl on the Train,1943,1103
231,William Doyle,Alchemist,2015,3898
232,Richard Garcia,Ruby Red Door,1914,328
233,Michael Martinez,Wonders of the World,1806,2236
234,William Doyle,Hunger Games,1739,4415
235,Megan Knight,Shades of Grey,1842,4836
236,Jeffrey Williams,Last Train Home,1887,2657
237,Robert Barrett,Cursed Castle,1840,3315
238,Kevin Ellis,Shades of Grey,1633,4176
239,Richard Freeman,Maze Runner,1614,517
240,Albert Mills,Song of Ice and Fire,1642,4397
241,Michael Patterson,In the Arms of the Sea,1646,4444
242,William Doyle,Da Vinci Code,1809,3834
243,Robert Barrett,Book of Miracles,1951,4803
244,Victor Davis,Dragon's Lair,1765,2814
245,Hazel Greer,Shac,1990,1472
246,Juan Thompson,Fault in Our Stars,1723,4794
247,Albert Mills,Mirror of Truth,1676,2079
248,Deanna Owens,Crown of Thorns,1857,3330
249,Linda Ward,Fault in Our Stars,1805,2291
250,Juan Thompson,Moonlit Path,1861,4301
251,Helen Hernandez,Book of Miracles,1511,3252
252,Patrick Hall,Phantom of the Opera,1587,1235
253,Kevin Ellis,Secrets We Keep,1681,2730
254,Leah Manning,Secrets We Keep,1853,2023
255,William Ortiz,Midnight Serenade,1982,1957
256,Tracey Walker,Island of Secrets,1676,2757
257,Michael Smith,Forgotten Realm,2018,2512
258,Randy Parker,Emerald City,1812,2468
259,Michelle Johnson,Emerald Isle,1862,2214
260,William Hamilton,Hunger Games,1676,2120
261,Ernest Torres,Golden Child,1532,781
262,Ann Henderson,Shac,1509,4637
263,Jacqueline Brown,Twist of Fate,1739,410
264,Patricia Simpson,Whispers in the Dark,1877,1391
265,Mary Abbott,Shadow of the Moon,1560,4141
266,Charles Johnson,Emerald City,1648,4425
267,Evelyn Smith,Last Train Home,1838,190
268,Bernard Brown,Art of Deception,1946,3169
269,William Ortiz,Mists of Avalon,1515,1471
270,Howard Jenkins,Dark Tower,1541,1328
271,Connie Howell,Martian,1841,475
272,William Hamilton,Midnight Garden,1967,634
273,Alberto Brown,Shadow of the Moon,1879,2098
274,Tyrone Evans,Midnight Garden,1765,2023
275,Victor Davis,Ruby Red Door,1926,1724
276,Kimberly Medina,White Queen,1621,4497
277,Kimberly Medina,Shades of Grey,1875,2130
278,Emily Moore,Crystal Caves,1771,1303
279,Tracey Walker,Blood Red Rose,1631,3020
280,Kevin Ellis,Silent Forest,1506,3129
281,Rosemary Wright,Catcher in the Rye,1973,4130
282,Patricia Meyer,Girl on the Train,1585,4701
283,Gary Johnson,Secrets We Keep,1712,1915
284,Barbara Farmer,Last Voyage,2020,3840
285,Ted Smith,Tears of a Clown,1908,2461
286,Laura Hernandez,Forgotten Realm,1675,2412
287,Anthony Davis,Dance with Destiny,1781,3657
288,Linda Ward,Mists of Avalon,1930,2676
289,Anthony Davis,Mask of Deception,1885,202
290,Teresa Ray,Mask of Deception,1520,3076
291,Gary Johnson,Shades of Grey,1624,2661
292,Wendy Walton,Heart of the Forest,1871,3772
293,Wayne Morrison,Silver Lining,1892,1819
294,Richard Freeman,Moonlit Path,1705,2875
295,Paul Graham,Glass Castle,1562,3314
296,Rita Powell,Queen's Necklace,1986,1705
297,Megan Knight,Phantom of the Opera,1936,2462
298,Kelly Franklin,Tears of a Clown,1712,4724
299,Daniel Craig,Giver,1899,842
300,Gary Johnson,Ruby Red Door,1566,1544
301,Beatrice Ortiz,Last Train Home,1885,1559
302,Ashley Doyle,Blood of Our Fathers,1544,2870
303,Wendy Walton,Edge of Tomorrow,1509,3213
304,Daniel Craig,Crown of Thorns,1650,4351
305,Derrick Brady,Enigma of Love,1746,4293
306,Wendy Walton,Ruby Red Door,1903,2377
307,Tyrone Evans,Witching Hour,1549,767
308,Dana Huff,Black Cat,1534,2962
309,Diana Terry,Rising Sun,1740,1200
310,Kevin Ellis,In the Arms of the Sea,2008,1081
311,Mary Graham,Kite Runner,1733,2635
312,Lauren Holland,Secret Life of Bees,1564,3109
313,Michael Martinez,Maze Runner,1700,2434
314,Emily Moore,Emerald City,1967,1104
315,Carole Kelly,Dragon's Lair,1684,3609
316,Wayne Morrison,Dragon's Lair,1794,4750
317,Megan Knight,Fault in Our Stars,1869,142
318,Eva Wright,Warrior's Heart,2007,1092
319,John Thomas,Help,1580,3464
320,John Ryan,Mask of Deception,1818,3379
321,Janet Baldwin,Shades of Grey,1982,4515
322,Anthony Davis,Glass Castle,1816,2475
323,Michael Martinez,White Queen,1942,710
324,Rosemary Wright,Secret Key,1552,1132
325,Hazel Greer,Secret Life of Bees,1547,4424
326,Richard Freeman,Silence of the Lambs,1935,1862
327,Thomas Simmons,Golden Child,1805,2550
328,Jacqueline Brown,Glass Castle,1920,2507
329,Eric Davis,Lost City of Atlantis,1816,2350
330,Wayne Morrison,Witching Hour,1530,3525
331,Lisa Rios,Book Thief,1516,4957
332,Ted Smith,Last Train Home,1630,4778
333,Eric Davis,Mirror of Truth,1820,2867
334,Kenneth May,Martian,1642,1999
335,Mary Graham,Secret Life of Bees,1787,426
336,Christine Miles,Silent Forest,1586,4195
337,Jessie Bowman,Dragon's Lair,1806,4487
338,Tracey Walker,Catcher in the Rye,1913,3911
339,Victoria Brown,Beyond the Horizon,1710,3204
340,Albert Mills,Alchemist,1951,2129
341,Jacqueline Brown,Kite Runner,1967,3697
342,Diana Terry,Time Traveler's Wife,1713,1840
343,Diana Terry,Secrets We Keep,1994,1158
344,Mary Graham,Midnight Serenade,1534,1394
345,Anthony Lee,Cursed Castle,1917,4691
346,John Ryan,Secret Garden,1720,2055
347,Kenneth May,Beyond the Horizon,1787,3637
348,Jacqueline Brown,Tears of the Moon,1910,350
349,Kimberly Medina,Golden Compass,1542,3722
350,Sherry Bennett,Maze Runner,1536,2739
351,Derrick Brady,Beyond the Horizon,1717,693
352,Alberto Brown,Golden Child,2004,2219
353,Kelly Franklin,Fire Within,1883,3275
354,Patricia Simpson,River of Dreams,1946,649
355,Melissa Hall,Last Voyage,1994,2061
356,Ernest Torres,Silence of the Lambs,1739,1734
357,Paul White,Road,1779,3673
358,John Thomas,Wonders of the World,1819,3040
359,Kimberly Medina,Sands of Time,1727,4281
360,Richard Freeman,Lost City of Atlantis,1894,1899
361,Teresa Ray,Midnight Carnival,2010,2217
362,Mary Graham,Last Train Home,1579,2372
363,Leah Manning,Lost City of Atlantis,1684,2649
364,Christine Miles,Silent Forest,1775,3101
365,Kelly Franklin,Help,1633,1767
366,Sherry Bennett,Maze Runner,1863,1483
367,Jacqueline Brown,Twist of Fate,1535,2252
368,Sherry Bennett,Golden Child,1650,4809
369,Kimberly Medina,Fire Within,1979,870
370,Richard Freeman,Girl on the Train,1910,1574
371,Victoria Brown,Witch of Blackbird Pond,1640,2524
372,Virginia Jackson,Beneath the Silver Moon,1678,3388
373,Richard Freeman,Tears of the Moon,1709,934
374,Mary Abbott,Lovely Bones,1510,1412
375,Michael Patterson,Pirate's Treasure,2005,2146
376,Teresa Ray,Black Cat,1852,176
377,Thomas Simmons,Last Train Home,1686,4831
378,Michelle Wis,Enchanted Princess,1743,109
379,Diane Robbins,Phantom of the Opera,1679,2894
380,Nancy Horton,Dark Tower,1879,900
381,Eva Wright,Alchemist,1606,4141
382,Lauren Holland,Book Thief,1531,2193
383,Delores Brown,Silent Forest,1614,2962
384,Wayne Morrison,Silence of the Lambs,1715,2213
385,Mary Graham,Time Traveler's Wife,1767,1669
386,Judy Rose,Da Vinci Code,1645,4304
387,Daniel Craig,Secret Key,1881,2096
388,Hazel Greer,Midnight Garden,1763,4810
389,Carol Sullivan,Maze Runner,1595,2272
390,Juan Thompson,Song of Achilles,1953,1840
391,Victor Davis,Shadow of the Moon,1966,485
392,Carol Sullivan,Edge of Tomorrow,1634,1265
393,Richard Garcia,Queen's Gambit,1524,4101
394,Cindy Gilbert,Song of Achilles,1796,1540
395,Howard Jenkins,Silver Lining,1535,3540
396,Janet Baldwin,Art of Deception,1781,4772
397,Leonard Stevenson,Warrior's Heart,1913,580
398,Wilma Jackson,Blood of Our Fathers,1767,4564
399,Carol Sullivan,Dragon's Lair,1790,2680
400,Deanna Owens,Golden Child,1891,313
401,Juan Thompson,Warrior's Heart,1524,4526
402,Patricia Meyer,Shadow of the Moon,1969,3511
403,Bernard Brown,Secrets We Keep,1775,2699
404,Kimberly Medina,Midnight Garden,1976,1781
405,Carole Kelly,Sands of Time,1984,4492
406,Anthony Davis,Ruby Red Door,1991,4457
407,Wayne Morrison,Enigma of Love,1580,1620
408,Erin Gonzales,Shadow of the Moon,1851,787
409,Kenneth May,Emerald Isle,1595,3717
410,Rosemary Wright,Maze Runner,1685,1409
411,Nancy Horton,Emerald Isle,1554,4062
412,Edward May,Warrior's Heart,1943,1905
413,Wayne Morrison,Lost City of Atlantis,1550,3428
414,Tracey Walker,Glass Castle,1968,3071
415,Timothy Griffin,Giver,1991,3345
416,Ella Harrison,Midnight Serenade,1615,4844
417,John Ryan,Curse of the Pharaohs,1875,2986
418,Daniel Craig,Hunger Games,1939,2700
419,Michelle Wis,Silver Lining,1667,329
420,Jessie Bowman,Dance with Destiny,1738,2945
421,Jeffrey Williams,Crystal Caves,1771,1187
422,Jessie Bowman,Shac,2013,3350
423,Thomas Cain,Golden Child,1727,3113
424,Erin Gonzales,Forbidden Forest,1970,3373
425,Anthony Davis,Crystal Caves,1863,919
426,Rita Powell,Silence of the Lambs,1763,1555
427,Anthony Lee,Girl with the Sapphire Eyes,1835,3690
428,Nancy Horton,Shades of Grey,1826,522
429,Lauren Holland,Night Circus,1821,708
430,Linda Ward,Hunger Games,1787,1329
431,Emily Moore,Pirate's Treasure,1779,3881
432,Anthony Davis,Lighthouse Keeper,1516,1919
433,Anthony Davis,Road,1547,140
434,Jeffrey Bowers,Edge of Tomorrow,1599,1328
435,Derrick Brady,Moonlit Path,2005,175
436,Sandra Craig,Enchanted Castle,1544,2403
437,Bernard Brown,Blood of Our Fathers,1500,3845
438,James Ross,Maze Runner,1510,2142
439,Helen Hernandez,Dragon's Lair,1819,1665
440,Michelle Wis,Hunger Games,1579,4334
441,Leah Manning,Enchanted Castle,1925,478
442,Patricia Meyer,Lost Kingdom,1883,828
443,Sherry Bennett,Last Voyage,1908,639
444,Eric Davis,Cursed Castle,1808,2009
445,Victoria Brown,Cursed Castle,1516,1232
446,Michael Smith,Twist of Fate,1777,2837
447,Carol Sullivan,Handmaid's Tale,1538,1240
448,Patricia Simpson,Cursed Castle,1782,4192
449,Judy Rose,Blood Red Rose,1787,2399
450,Michelle Wis,Secret Garden,1552,784
451,Jeffrey Williams,Whispering Wind,1588,4025
452,Sherry Bennett,Silver Lining,1657,120
453,Rosemary Wright,Rising Sun,1973,2620
454,Tracey Walker,Kite Runner,1825,770
455,Christine Miles,Fault in Our Stars,1591,2763
456,Jessie Bowman,Tears of a Clown,1603,140
457,Diane Robbins,Beyond the Horizon,1529,4301
458,John Ryan,Edge of Tomorrow,1726,2611
459,Richard Freeman,White Queen,1841,673
460,Eric Davis,Handmaid's Tale,1636,485
461,Alberto Brown,Kite Runner,1657,2697
462,Jeffrey Bowers,Echoes of the Past,1573,402
463,Gregory Gibbs,Midnight Serenade,1983,1758
464,Michelle Johnson,Curse of the Pharaohs,1918,3505
465,Wilma Jackson,Whispers in the Dark,1544,1148
466,Ella Harrison,Girl with the Sapphire Eyes,1987,1469
467,Robert Evans,Lost Kingdom,1578,1790
468,Timothy Griffin,Road,1921,485
469,William Ortiz,Time Traveler's Wife,1719,4039
470,Linda Ward,Shadow of the Moon,1730,843
471,John Thomas,Wonders of the World,1675,3264
472,John Ryan,Midnight Garden,1701,2608
473,Carol Sullivan,Valley of Dreams,1987,996
474,Leah Manning,Book of Miracles,1520,4746
475,Cindy Gilbert,Road,1834,656
476,Lisa Rios,Lord of the Rings,1722,1386
477,Albert Mills,Knight's Code,1796,3117
478,Ted Smith,Glass Castle,1928,1717
479,Wendy Walton,Midnight Carnival,1819,2010
480,Edward May,Girl on the Train,1758,4729
481,Gregory Gibbs,Secret Society,1547,4884
482,Albert Mills,Secret Life of Bees,1750,3666
483,Victor Davis,Help,1950,1029
484,Lisa Rios,Queen's Gambit,1841,2874
485,Delores Brown,Whispers in the Dark,1593,2750
486,Melissa Hall,Island of Secrets,1846,4979
487,Michael Smith,Catcher in the Rye,1797,4677
488,Linda Ward,Queen's Necklace,1852,3165
489,Alberto Brown,Art of Deception,1578,1803
490,Eric Davis,Night Circus,1930,4449
491,Sherry Bennett,Alchemist,1868,2377
492,William Hamilton,Midnight Garden,1576,1600
493,Paul Graham,Forgotten Realm,1553,3818
494,Teresa Ray,Cursed Castle,1719,1228
495,Wilma Jackson,Queen's Necklace,1772,3110
496,Emily Moore,Edge of Tomorrow,1941,3203
497,Ernest Torres,Enigma of Love,1804,2593
498,Mary Abbott,Crystal Caves,1521,4259
499,Linda Ward,Girl on the Train,1703,4962
500,Jeffrey Bowers,Moonlit Path,1746,2144
501,Jeffrey Bowers,Dance with Destiny,1872,2379
502,Leonard Stevenson,Black Cat,1743,4474
503,Richard Garcia,Whispering Wind,1626,1435
504,Albert Mills,Girl with the Sapphire Eyes,1690,3836
505,Jeffrey Bowers,Lovely Bones,1549,4301
506,Jacqueline Brown,Da Vinci Code,1535,1372
507,Victoria Brown,Dance with Destiny,1782,4204
508,Victoria Brown,Fault in Our Stars,1609,4875
509,Janet Baldwin,Martian,1738,2728
510,Wendy Walton,Glass Castle,1806,209
511,Albert Mills,Curse of the Pharaohs,1783,2627
512,Leah Manning,Help,1986,365
513,Dana Huff,Curse of the Pharaohs,1607,540
514,Mary Graham,Shades of Grey,1524,2698
515,Wilma Jackson,Maze Runner,1947,3790
516,Dana Huff,Last Voyage,1683,1636
517,Eva Wright,Song of Achilles,1601,1765
518,Michael Smith,Warrior's Heart,1773,641
519,Helen Hernandez,Lovely Bones,1755,3888
520,Tracey Walker,Mask of Deception,1721,1457
521,Hazel Greer,Sands of Time,1636,2752
522,Randy Parker,White Queen,1642,553
523,Michael Patterson,Sands of Time,1586,4584
524,Rita Powell,Crown of Thorns,1584,1039
525,Robert Evans,Queen's Gambit,1612,2784
526,Rosemary Wright,Dragon's Roar,1542,748
527,Daniel Craig,Enchanted Princess,2008,997
528,Randy Parker,Witching Hour,1569,127
529,Beatrice Ortiz,Book Thief,1877,2612
530,Wilma Jackson,Crystal Caves,1616,1740
531,Ted Smith,Da Vinci Code,1986,2559
532,Megan Knight,Twist of Fate,1999,1829
533,Carol Sullivan,Beyond the Horizon,1681,570
534,Kevin Ellis,Wonders of the World,1522,1482
535,Lydia Martinez,Da Vinci Code,1938,510
536,Nancy Horton,Alchemist,1575,4746
537,Beatrice Ortiz,Shac,1616,1208
538,Linda Ward,Crystal Caves,1715,2747
539,Bernard Brown,Beyond the Horizon,1973,2923
540,Teresa Ray,Crystal Caves,1595,862
541,Rosemary Wright,Mirror of Truth,1896,343
542,Michael Martinez,Martian,1993,2704
543,William Ortiz,In the Arms of the Sea,1869,2773
544,Derrick Brady,Dragon's Eye,1551,558
545,Richard Freeman,Time Traveler's Wife,1603,982
546,Delores Brown,Queen's Gambit,1847,3110
547,Michelle Wis,Valley of Dreams,1835,844
548,Richard Freeman,Dark Tower,1670,4343
549,Connie Howell,Song of Ice and Fire,1673,4719
550,Robert Evans,Knight's Code,1984,2788
551,Ernest Torres,Midnight Serenade,1838,1515
552,Helen Hernandez,Valley of Dreams,2012,4656
553,Anthony Davis,Secret Society,1509,2613
554,Charles Johnson,Echoes of the Past,1525,699
555,Kevin Ellis,Twist of Fate,1787,2120
556,Connie Howell,Martian,1792,2367
557,Carol Sullivan,Echoes of the Past,1754,266
558,Teresa Ray,Phantom of the Opera,1542,3246
559,Dana Huff,Beneath the Silver Moon,1957,1729
560,Derrick Brady,Road,1513,2586
561,Janet Baldwin,Phantom of the Opera,1750,4628
562,Eva Wright,Shadow of the Moon,1684,1131
563,Maria Webb,Help,1958,1368
564,Rita Powell,Secret Society,1758,3926
565,Richard Garcia,Crystal Caves,1555,2066
566,Paul Graham,Shadows of the Night,1818,2818
567,Ernest Torres,Secret Garden,1581,4356
568,James Ross,Lord of the Rings,1990,1673
569,Michael Martinez,Fire Within,1845,3097
570,Linda Ward,Moonlit Path,1964,3384
571,James Ross,Clockwork Angel,1512,4911
572,Melissa Hall,Whispers in the Dark,1573,3253
573,Erin Gonzales,Midnight Garden,1874,725
574,Lydia Martinez,Echoes of the Past,1787,2612
575,Melissa Hall,Dragon's Eye,1817,2069
576,Edward May,Hunger Games,1629,1092
577,Michelle Wis,Echoes of the Past,1685,3165
578,Judy Rose,Moonlit Path,1915,531
579,Leah Manning,Phantom of the Opera,1747,3313
