,Author,Books,Year Published,Pages
326,John Thomas,Secret Life of Bees,1875,3250
327,Ann Henderson,Queen's Necklace,1717,213
328,Wilma Jackson,Blood Red Rose,1657,4956
329,Patricia Simpson,Road,1772,2868
330,Erin Gonzales,Witching Hour,1930,142
331,Paul Graham,Black Cat,1589,3919
332,Ted Smith,Mists of Avalon,1943,1110
333,William Doyle,Girl on the Train,1743,1595
334,Hazel Greer,Crown of Thorns,1832,1589
335,Bernard Brown,Mirror of Truth,1907,4625
336,Virginia Jackson,Hunger Games,1930,4723
337,Jeffrey Williams,Mirror of Truth,1832,975
338,Mary Abbott,Art of Deception,1623,4692
339,Cindy Gilbert,Alchemist,1935,656
340,Ella Harrison,Beneath the Silver Moon,2013,4975
341,Beatrice Ortiz,Beyond the Horizon,1566,2871
342,Cindy Gilbert,Midnight Carnival,1758,933
343,Tracey Walker,Curse of the Pharaohs,1552,2084
344,Teresa Ray,Queen's Necklace,1807,4894
345,Kelly Franklin,Dragon's Eye,2008,2827
346,Daniel Craig,Dance with Destiny,1831,1567
347,Diana Terry,Tears of a Clown,1999,629
348,Charles Johnson,Giver,1571,181
349,Charles Johnson,Hunger Games,1577,148
350,James Hill,Shadow of the Moon,1990,3281
351,Sherry Bennett,Valley of Dreams,1652,3374
352,Kimberly Medina,Da Vinci Code,1700,2035
353,Ernest Torres,Forbidden Forest,1678,3288
354,Helen Hernandez,Song of Achilles,1908,1359
355,Ernest Torres,Secret Garden,1503,2914
356,Lydia Martinez,Night Circus,1686,2748
357,Kimberly Medina,Mists of Avalon,1740,3426
358,Helen Hernandez,Crown of Thorns,1911,1472
359,Timothy Griffin,Ruby Red Door,1874,891
360,Rita Powell,Valley of Dreams,1645,3532
361,William Doyle,Mists of Avalon,1665,2036
362,Diane Robbins,Tears of the Moon,1593,2095
363,Paul White,White Queen,1957,2650
364,Frances Rose,Da Vinci Code,1755,3718
365,Randy Parker,Catcher in the Rye,1709,3448
366,Tyrone Evans,Island of Secrets,1709,3824
367,William Hamilton,Glass Castle,1565,2722
368,Ernest Torres,Shades of Grey,1827,894
369,Ashley Doyle,Beneath the Silver Moon,1540,103
370,Kimberly Medina,Night Circus,1994,1574
371,James Hill,Secret Garden,2006,3380
372,Christine Miles,Kite Runner,1700,2527
373,Kevin Ellis,Tears of a Clown,1966,3745
374,Frances Rose,Alchemist,1781,3321
375,Anthony Lee,Fire Within,1686,452
376,Anthony Davis,Handmaid's Tale,1681,2935
377,Janet Baldwin,Book Thief,1665,3681
378,Michael Martinez,Hunger Games,1692,1969
379,Kelly Franklin,Lord of the Rings,1750,2747
380,Frances Rose,Crown of Thorns,1530,1659
381,James Ross,Crown of Thorns,1697,697
382,Kelly Franklin,Forgotten Realm,1887,2459
383,Edward May,Midnight Carnival,1718,107
384,James Hill,Fire Within,1884,2766
385,Judy Rose,Shadows of the Night,1555,944
386,Bernard Brown,Giver,1976,702
387,John Thomas,Pirate's Treasure,1804,299
388,Emily Moore,Last Train Home,1730,1033
389,Victor Davis,Heart of the Forest,1624,2412
390,Diane Robbins,White Queen,1691,3722
391,Juan Thompson,Last Voyage,2008,4185
392,Delores Brown,Shac,1678,987
393,Deanna Owens,Shac,1847,2220
394,Kevin Ellis,Twist of Fate,1540,4864
395,Melissa Hall,Cursed Castle,2006,1933
396,Carol Sullivan,Beyond the Horizon,1936,1784
397,Howard Jenkins,Dragon's Eye,1920,1794
398,Hazel Greer,Knight's Code,1560,4665
399,Wayne Morrison,Dark Tower,1914,813
400,Janet Baldwin,Moonlit Path,1556,4038
401,Erin Gonzales,Handmaid's Tale,1862,4122
402,Kenneth May,Dragon's Roar,1721,2615
403,Jeffrey Bowers,Warrior's Heart,1637,2420
404,Diana Terry,Last Train Home,1588,3001
405,Kelly Franklin,Forgotten Realm,1655,2375
406,Jeffrey Bowers,Lovely Bones,1557,1319
407,Robert Evans,Song of Achilles,1612,3177
408,Wendy Walton,Handmaid's Tale,1939,3672
409,Leonard Stevenson,Shadow of the Moon,1778,4268
410,Diane Robbins,Beneath the Silver Moon,1909,3113
411,Anthony Davis,Handmaid's Tale,1654,912
412,Wayne Morrison,Enchanted Castle,1527,3704
413,Patrick Hall,Lost City of Atlantis,1725,4853
414,Linda Ward,Alchemist,1901,737
415,John Thomas,Forgotten Realm,1895,1757
416,John Thomas,Shac,1897,882
417,Jeffrey Bowers,Song of Achilles,1799,154
418,James Ross,Heart of the Forest,1605,412
419,Mary Graham,Da Vinci Code,1766,1464
420,Michelle Wis,Blood of Our Fathers,1678,3625
421,John Ryan,Tears of the Moon,1638,615
422,Rita Powell,Island of Secrets,1811,2420
423,Ashley Doyle,Girl on the Train,1927,3711
424,Deanna Owens,Golden Child,1698,839
425,Ashley Doyle,Blood Red Rose,2023,3064
426,James Hill,Forbidden Forest,1870,330
427,Lydia Martinez,Clockwork Angel,1884,3585
428,Connie Howell,Valley of Dreams,1865,1670
429,Sandra Craig,Help,1820,1481
430,Charles Johnson,Emerald Isle,1816,3130
431,Wayne Morrison,Last Voyage,1880,3345
432,Connie Howell,Glass Castle,2012,1613
433,Paul White,Tears of a Clown,1639,1895
434,Victor Davis,Lord of the Rings,1999,3730
435,Diane Robbins,Secret Key,1806,2194
436,Teresa Ray,Moonlit Path,1818,1850
437,Lauren Holland,Alchemist,2007,2791
438,Mary Graham,Lost City of Atlantis,1578,420
439,Jeffrey Bowers,Echoes of the Past,1594,2719
440,Michelle Johnson,Queen's Gambit,1608,4915
441,Thomas Simmons,Dark Tower,1861,692
442,Patrick Hall,Clockwork Angel,2012,3909
443,Mary Graham,Moonlit Path,1539,4844
444,Megan Knight,Sands of Time,1660,2352
445,Erin Gonzales,Alchemist,1673,4286
446,Richard Garcia,Song of Achilles,1541,2672
447,Wayne Morrison,Witch of Blackbird Pond,1850,4849
448,Wilma Jackson,White Queen,1500,4378
449,Jeffrey Bowers,Whispers in the Dark,1507,2695
450,Kenneth May,Midnight Carnival,1961,2301
451,Sherry Bennett,Fault in Our Stars,1886,3474
452,Robert Evans,Glass Castle,1702,1703
453,Randy Parker,Forbidden Forest,1596,3507
454,Jeffrey Williams,Rising Sun,1933,2724
455,Gary Johnson,Silence of the Lambs,1766,1519
456,Cindy Gilbert,Queen's Necklace,1925,1768
457,Richard Garcia,Lost City of Atlantis,1933,2453
458,Kimberly Medina,Lighthouse Keeper,1625,1758
459,John Ryan,Crown of Thorns,1585,3475
460,Anthony Davis,Lovely Bones,1830,3386
461,Lydia Martinez,Silence of the Lambs,1992,1718
462,Kelly Franklin,Phantom of the Opera,1907,652
463,William Ortiz,Road,1534,1165
464,Lydia Martinez,Lighthouse Keeper,1931,2491
465,Victor Davis,Queen's Necklace,1710,2224
466,Daniel Craig,Handmaid's Tale,1810,3649
467,Frances Rose,Beyond the Horizon,1962,1546
468,Daniel Craig,Blood Red Rose,1739,3531
469,Cindy Gilbert,Mirror of Truth,1575,143
470,Frances Rose,Mask of Deception,1662,2450
471,Christine Miles,Clockwork Angel,1830,4694
472,Laura Hernandez,Secrets We Keep,1895,1750
473,Jeffrey Bowers,Edge of Tomorrow,1974,4230
474,Gary Johnson,Golden Child,1870,3966
475,Connie Howell,Secret Society,1698,4464
476,Carol Sullivan,Warrior's Heart,1688,644
477,Hazel Greer,Blood of Our Fathers,2017,2938
478,John Ryan,Book Thief,1712,2190
479,Michael Patterson,Glass Castle,1604,772
480,Alberto Brown,Queen's Necklace,1972,418
481,Deanna Owens,Queen's Gambit,1549,4771
482,Ella Harrison,Secret Garden,1532,2604
483,Judy Rose,Golden Child,1532,4392
484,Erin Gonzales,Road,1645,2849
485,Erin Gonzales,Night Circus,1846,994
486,Teresa Ray,Last Train Home,1542,2694
487,Thomas Cain,Dance with Destiny,1536,1864
488,Tracey Walker,Dragon's Eye,1973,4253
489,Jeffrey Bowers,Lighthouse Keeper,1869,604
490,John Ryan,Sands of Time,1648,3811
491,Kenneth May,Silence of the Lambs,2010,2704
492,Wendy Walton,Shadows of the Night,1595,4468
493,Eric Davis,Maze Runner,1911,1466
494,Patricia Meyer,Kite Runner,1765,4908
495,Rita Powell,Queen's Gambit,1687,313
496,Dana Huff,Enchanted Princess,1505,3465
497,Michelle Wis,Lost Kingdom,1750,1567
498,Rosemary Wright,Twist of Fate,1659,2785
499,William Doyle,Black Cat,2008,3398
500,Sandra Craig,Moonlit Path,1826,1811
501,Rosemary Wright,Glass Castle,1726,133
502,Gary Johnson,Mists of Avalon,1952,441
503,Bernard Brown,Queen's Necklace,1770,389
504,Ashley Doyle,Night Circus,1559,4295
505,Albert Mills,Lighthouse Keeper,1593,4198
506,Rosemary Lucas,Enchanted Castle,1715,4930
507,Paul Graham,Crystal Caves,1953,3508
508,Sherry Bennett,Lost Kingdom,1525,3088
509,Juan Thompson,Tears of a Clown,1572,2739
510,James Hill,Lost Kingdom,2000,2434
511,Connie Howell,Secret Life of Bees,1907,3202
512,William Hamilton,Hunger Games,1882,1984
513,Lydia Martinez,Kite Runner,1961,4835
514,Michelle Wis,Forbidden Forest,1686,2928
515,Melissa Hall,Curse of the Pharaohs,1864,2750
516,Lauren Holland,Blood Red Rose,1680,950
517,Maria Webb,Secret Key,1922,2092
518,Jessie Bowman,Dragon's Eye,1716,2967
519,Ann Henderson,Golden Compass,2006,2407
520,Deanna Owens,Kite Runner,1934,2024
521,Thomas Cain,Queen's Necklace,1930,3191
522,Teresa Ray,Giver,1828,207
523,Beatrice Ortiz,Road,1545,1135
524,Megan Knight,Secret Society,1759,1955
525,Victor Davis,Great Gatsby,1879,594
526,Dana Huff,Enchanted Castle,1630,2749
527,Mary Abbott,Mists of Avalon,1925,2459
528,William Hamilton,Emerald Isle,1527,1409
529,Daniel Craig,Enchanted Princess,1909,1412
530,Emily Moore,Secret Society,1939,2812
531,Rosemary Wright,Book of Miracles,1962,1004
532,Michelle Johnson,Art of Deception,1755,319
533,Michael Smith,Song of Achilles,1953,4970
534,Frances Rose,Time Traveler's Wife,1848,992
535,Michelle Wis,Enchanted Castle,1908,1047
536,Judy Rose,Golden Compass,1550,2206
537,Diana Terry,Time Traveler's Wife,1586,1457
538,Teresa Ray,Help,2011,4469
539,Barbara Farmer,Curse of the Pharaohs,1551,3792
540,Teresa Ray,Time Traveler's Wife,1619,283
541,John Thomas,Ruby Red Door,1988,2230
542,Richard Freeman,Book Thief,1983,2763
543,Thomas Cain,Glass Castle,1861,1084
544,Connie Howell,Enigma of Love,1954,3471
545,Frances Rose,Edge of Tomorrow,1908,4124
546,Michelle Wis,Queen's Gambit,1568,717
547,Juan Thompson,Beneath the Silver Moon,1769,4768
548,Thomas Cain,In the Arms of the Sea,1984,3025
549,Nancy Horton,Handmaid's Tale,1530,4617
550,Lydia Martinez,Silent Forest,1685,4374
551,Thomas Simmons,Fault in Our Stars,1840,2122
552,Evelyn Smith,Glass Castle,1801,2974
553,Edward May,Silence of the Lambs,1602,411
554,Lauren Holland,Midnight Garden,2009,278
555,Paul White,Golden Child,1843,1330
556,Patrick Hall,Enchanted Princess,1944,3338
557,William Ortiz,Great Gatsby,1610,4890
558,Gregory Gibbs,Crystal Caves,1787,2398
559,Carole Kelly,Glass Castle,1646,3918
560,Mary Graham,Golden Child,1689,2646
561,Howard Jenkins,Lost Kingdom,1869,560
562,Thomas Simmons,Hunger Games,1717,2160
563,Nancy Horton,Catcher in the Rye,1871,4094
564,Thomas Simmons,Midnight Carnival,1526,100
565,Hazel Greer,Edge of Tomorrow,1864,3632
566,Patrick Hall,Road,1708,1857
567,Beatrice Ortiz,Dragon's Eye,1845,3260
568,Robert Barrett,Curse of the Pharaohs,1700,3464
569,Anthony Lee,Giver,1513,1976
570,Patricia Meyer,Girl with the Sapphire Eyes,1855,4319
571,William Doyle,Glass Castle,1513,1930
572,Wendy Walton,Shadow of the Moon,1857,1751
573,Megan Knight,Whispers in the Dark,1971,2051
574,Ann Henderson,Martian,1636,4879
575,Jeffrey Bowers,Twist of Fate,1788,4125
576,Carol Sullivan,Mask of Deception,1806,2578
577,Emily Moore,Enigma of Love,1601,4056
