,Author,Books,Year Published,Pages
78,Evelyn Smith,Witching Hour,1907,4433
79,Michael Martinez,Mask of Deception,1824,2730
80,Wilma Jackson,River of Dreams,1692,4574
81,Howard Jenkins,Dark Tower,1840,2367
82,Michelle Wis,Enchanted Princess,1928,2854
83,Rosemary Wright,Mists of Avalon,1963,2402
84,Sandra Craig,Blood Red Rose,1675,3315
85,Richard Garcia,Black Cat,1854,3502
86,Teresa Ray,Valley of Dreams,1873,2924
87,Jessie Bowman,Curse of the Pharaohs,1500,3979
88,Alberto Brown,Crystal Caves,1889,186
89,Daniel Craig,Phantom of the Opera,1944,531
90,Ashley Doyle,Mirror of Truth,1875,1815
91,Megan Knight,Lighthouse Keeper,1881,1762
92,James Ross,Forbidden Forest,2006,2649
93,Timothy Griffin,Witching Hour,1508,676
94,James Ross,Beneath the Silver Moon,1939,4582
95,Jeffrey Williams,Blood Red Rose,1857,2940
96,Jeffrey Williams,Shadow of the Moon,1609,2205
97,Rosemary Lucas,Forgotten Realm,1629,3243
98,Gregory Gibbs,White Queen,1968,1139
99,Michael Smith,Dragon's Lair,1577,620
100,Laura Hernandez,Secret Life of Bees,1997,2929
101,Gregory Gibbs,Emerald Isle,1840,4493
102,Patrick Hall,Cursed Castle,1638,1815
103,Leah Manning,Song of Achilles,1957,942
104,Paul Graham,Forgotten Realm,1704,2335
105,Thomas Simmons,Witch of Blackbird Pond,1677,2758
106,Gary Johnson,Book Thief,1608,3949
107,Carol Sullivan,Lighthouse Keeper,1707,4514
108,Frances Rose,Lighthouse Keeper,1595,368
109,Paul White,Enchanted Castle,1820,3429
110,Lisa Rios,Martian,1734,4176
111,Lydia Martinez,Help,1726,4810
112,James Ross,Mirror of Truth,1993,3876
113,Erin Gonzales,Dragon's Roar,1526,1758
114,Sandra Craig,Tears of the Moon,2006,308
115,Eva Wright,Golden Compass,1500,3748
116,William Doyle,Emerald Isle,1600,2987
117,Carole Kelly,Wonders of the World,1709,2911
118,Wayne Morrison,Warrior's Heart,1703,1997
119,Michelle Johnson,Song of Achilles,1936,4544
120,Eva Wright,Lord of the Rings,1783,1842
121,William Doyle,Secret Key,1656,2703
122,Melissa Hall,Book Thief,1964,2961
123,Michelle Johnson,Queen's Gambit,1597,3968
124,Victoria Brown,Shadows of the Night,1948,2029
125,Howard Jenkins,Song of Ice and Fire,1514,1946
126,Kevin Ellis,Dance with Destiny,2017,1255
127,Thomas Cain,Fire Within,1804,1648
128,William Hamilton,Shadows of the Night,1693,733
129,Randy Parker,Handmaid's Tale,1867,3082
130,Anthony Lee,Catcher in the Rye,1981,863
131,Frances Rose,Shadows of the Night,1770,337
132,Thomas Cain,Midnight Garden,1746,4434
133,Randy Parker,Tears of the Moon,1968,3533
134,Randy Parker,Golden Compass,1909,2737
135,Richard Garcia,Art of Deception,1564,485
136,Ernest Torres,Forgotten Realm,1592,221
137,Richard Garcia,Catcher in the Rye,1662,1369
138,Wilma Jackson,Great Gatsby,1515,1348
139,John Thomas,Road,1993,3344
140,Laura Hernandez,Black Cat,1977,4054
141,Maria Webb,Enchanted Castle,1854,4582
142,Eric Davis,Midnight Garden,1640,4703
143,Diane Robbins,Shadow of the Moon,1734,4863
144,Patricia Simpson,Fault in Our Stars,1676,3802
145,Michael Patterson,Da Vinci Code,1970,463
146,Emily Moore,Secret Society,1694,1123
147,Sherry Bennett,Shadow of the Moon,1675,1788
148,Richard Freeman,Beneath the Silver Moon,1798,978
149,Sandra Craig,Whispering Wind,1772,3616
150,Patrick Hall,Shades of Grey,1867,2652
151,Lydia Martinez,Queen's Necklace,1766,1645
152,Evelyn Smith,Island of Secrets,1591,1656
153,Frances Rose,Queen's Necklace,1999,4635
154,Patricia Meyer,Dragon's Eye,1533,4967
155,Wendy Walton,Silver Lining,1887,3311
156,Thomas Simmons,Shac,1963,1237
157,Hazel Greer,Enchanted Castle,1770,562
158,Lydia Martinez,Glass Castle,1510,1986
159,Juan Thompson,Fault in Our Stars,1695,716
160,Richard Garcia,Hunger Games,1565,2580
161,Victoria Brown,Echoes of the Past,1523,2179
162,Kenneth May,Book of Miracles,1953,1979
163,Leonard Stevenson,Lost City of Atlantis,1793,1682
164,Bernard Brown,Alchemist,1959,3710
165,Jeffrey Williams,Song of Ice and Fire,1958,1283
166,Bernard Brown,Alchemist,1642,2755
167,Maria Webb,Shadow of the Moon,1525,4425
168,Ted Smith,Da Vinci Code,1674,3617
169,Wendy Walton,Silence of the Lambs,1756,4491
170,Richard Garcia,Girl with the Dragon Tattoo,1610,3857
171,Gary Johnson,Golden Child,1615,4069
172,Howard Jenkins,Crown of Thorns,1729,1982
173,Gary Johnson,Last Train Home,1857,4130
174,Paul Graham,Book Thief,1528,4381
175,Robert Evans,Enchanted Princess,1767,2149
176,Maria Webb,Shades of Grey,1874,113
177,Timothy Griffin,Help,1747,4704
178,John Thomas,Giver,1541,350
179,Gary Johnson,Shadows of the Night,1949,2712
180,Sandra Craig,Lost City of Atlantis,1694,4000
181,James Hill,Island of Secrets,1640,1382
182,Paul White,Wonders of the World,1788,325
183,Wilma Jackson,Knight's Code,1519,810
184,Anthony Lee,Lost City of Atlantis,1704,4048
185,William Doyle,Secrets We Keep,2021,2454
186,Michelle Wis,Great Gatsby,1982,352
187,Charles Johnson,Book of Miracles,1608,1714
188,Eric Davis,Whispers in the Dark,1987,1783
189,Gregory Gibbs,Island of Secrets,1815,2845
190,Jeffrey Bowers,Catcher in the Rye,1976,1993
191,Charles Johnson,Witch of Blackbird Pond,1781,126
192,Wendy Walton,Giver,1751,4477
193,Eric Davis,Girl with the Dragon Tattoo,1697,2956
194,Bernard Brown,Enchanted Princess,1719,446
195,Howard Jenkins,Knight's Code,1608,884
196,Cindy Gilbert,Lost City of Atlantis,1522,2932
197,Michelle Wis,Shadows of the Night,2003,1618
198,Jeffrey Bowers,Mists of Avalon,1666,917
199,Robert Barrett,Cursed Castle,1621,2400
200,Lisa Rios,Cursed Castle,1615,3067
201,Derrick Brady,Lovely Bones,1668,2243
202,Dana Huff,Mists of Avalon,1662,3429
203,William Hamilton,Enigma of Love,1504,3383
204,Anthony Davis,Crown of Thorns,1854,4365
205,Thomas Cain,Silver Lining,1730,4693
206,Michelle Wis,Catcher in the Rye,2011,550
207,Lisa Rios,Mask of Deception,1854,3392
208,Wilma Jackson,Wonders of the World,1611,1623
209,Christine Miles,Dragon's Roar,1898,1533
210,Rosemary Lucas,Secrets We Keep,1956,3098
211,Tyrone Evans,Witch of Blackbird Pond,1702,4316
212,Michael Martinez,Maze Runner,1512,2921
213,Erin Gonzales,Enchanted Castle,1608,1200
214,Leonard Stevenson,Last Voyage,1690,4231
215,Edward May,Alchemist,1893,1797
216,Charles Johnson,Whispering Wind,1976,3950
217,Emily Moore,Queen's Necklace,1802,4116
218,Evelyn Smith,Golden Compass,1791,2153
219,James Ross,Lighthouse Keeper,1688,2780
220,Paul Graham,Cursed Castle,1699,544
221,Carole Kelly,Rising Sun,1533,4444
222,Wayne Morrison,Lovely Bones,1870,4404
223,Erin Gonzales,Tears of the Moon,1778,1964
224,Thomas Cain,Dark Tower,1690,2500
225,Nancy Horton,Midnight Carnival,1772,4089
226,Wayne Morrison,Cursed Castle,1974,562
227,Thomas Simmons,Song of Achilles,1518,504
228,Paul Graham,Crown of Thorns,1690,4005
229,Kenneth May,Shadow of the Moon,1952,4326
230,Wilma Jackson,Handmaid's Tale,1560,4176
231,Robert Barrett,Time Traveler's Wife,1688,1150
232,Linda Ward,Lost Kingdom,2001,1148
233,Delores Brown,Mirror of Truth,1976,1524
234,Jeffrey Williams,Golden Child,1676,375
235,Hazel Greer,Rising Sun,1834,3545
236,Patricia Simpson,Help,1724,4805
237,Ernest Torres,Last Train Home,2009,4560
238,Helen Hernandez,Road,1998,4693
239,Paul White,Golden Child,1632,1901
240,Patricia Simpson,Glass Castle,1755,2892
241,Lisa Rios,Girl with the Sapphire Eyes,1839,4656
242,Victor Davis,Tears of a Clown,1830,3471
243,Paul White,Da Vinci Code,1869,3375
244,Lisa Rios,Dark Tower,1655,2901
245,Barbara Farmer,Girl with the Sapphire Eyes,1610,4573
246,Emily Moore,Phantom of the Opera,1530,3496
247,Randy Parker,Phantom of the Opera,1850,1531
248,Kelly Franklin,Girl with the Sapphire Eyes,1747,199
249,Megan Knight,Girl on the Train,1659,1244
250,Dana Huff,Dragon's Eye,1690,2995
251,Michael Smith,Blood Red Rose,1765,1861
252,William Hamilton,In the Arms of the Sea,1943,1216
253,Wilma Jackson,Night Circus,1644,1486
254,Jacqueline Brown,Witching Hour,1836,1057
255,James Hill,Knight's Code,1585,318
256,Randy Parker,Secret Key,1581,851
257,Kimberly Medina,Road,1799,2421
258,Ashley Doyle,Rising Sun,1525,1344
259,Patricia Simpson,Time Traveler's Wife,1761,3937
260,Jeffrey Williams,Silent Forest,1785,1111
261,Rosemary Lucas,Girl on the Train,1985,1397
262,Michelle Wis,Cursed Castle,1899,1881
263,Frances Rose,Hunger Games,1947,1660
264,Howard Jenkins,Lord of the Rings,1761,1146
265,Mary Graham,Book of Miracles,1646,1603
266,Derrick Brady,Lovely Bones,1974,795
267,Tyrone Evans,Road,1613,1823
268,Alberto Brown,Warrior's Heart,1961,1386
269,Paul White,Giver,1974,772
270,Leah Manning,Blood Red Rose,1737,951
271,Judy Rose,In the Arms of the Sea,1546,1323
272,Robert Evans,Shadow of the Moon,1995,2535
273,Albert Mills,Island of Secrets,1969,2133
274,Kimberly Medina,Golden Child,1511,1558
275,Albert Mills,Silver Lining,1538,1466
276,Juan Thompson,Secret Society,1617,954
277,Kimberly Medina,Silver Lining,1724,3344
278,Victoria Brown,Night Circus,1980,3365
279,Helen Hernandez,Giver,1731,2767
280,Kelly Franklin,Handmaid's Tale,1974,1661
281,John Thomas,Crystal Caves,1741,4200
282,Linda Ward,Mirror of Truth,1651,1268
283,Gregory Gibbs,Moonlit Path,1609,1410
284,Wendy Walton,Secrets We Keep,1832,2153
285,Patricia Simpson,Edge of Tomorrow,1733,1696
286,Edward May,Lovely Bones,1508,3707
287,Patrick Hall,Blood of Our Fathers,1828,2374
288,Kelly Franklin,Golden Compass,1837,896
289,Deanna Owens,Help,1604,4539
290,Connie Howell,Shades of Grey,1875,2114
291,James Hill,Twist of Fate,1934,888
292,Janet Baldwin,Lost City of Atlantis,1519,1507
293,Bernard Brown,Fault in Our Stars,1665,2407
294,Thomas Cain,Alchemist,1712,1981
295,Alberto Brown,Crystal Caves,1739,4968
296,William Ortiz,Ruby Red Door,1854,2262
297,Howard Jenkins,Shadow of the Moon,1805,3712
298,Janet Baldwin,Alchemist,1779,1657
299,Alberto Brown,Enigma of Love,1966,2661
300,Howard Jenkins,Dragon's Eye,1785,629
301,Janet Baldwin,Edge of Tomorrow,1755,3852
302,Sherry Bennett,Emerald City,1848,228
303,Leah Manning,Help,1916,4575
304,Mary Abbott,Phantom of the Opera,1641,2136
305,Michelle Johnson,Valley of Dreams,1958,4231
306,Frances Rose,Echoes of the Past,1900,703
307,Jeffrey Bowers,Girl with the Sapphire Eyes,1832,1766
308,Michelle Johnson,Alchemist,1782,4669
309,Patricia Simpson,Silence of the Lambs,1760,3768
310,Diana Terry,Shadow of the Moon,1915,903
311,Lauren Holland,Midnight Garden,1848,1342
312,Charles Johnson,Art of Deception,1529,4419
313,Anthony Davis,Shadow of the Moon,1535,627
314,William Doyle,Song of Ice and Fire,1816,936
315,Leah Manning,Golden Compass,1830,2691
316,Judy Rose,Mask of Deception,1565,2398
317,Anthony Davis,Dark Tower,1742,2988
318,Alberto Brown,Lighthouse Keeper,1903,345
319,Howard Jenkins,In the Arms of the Sea,1688,396
320,Thomas Cain,Heart of the Forest,1924,4869
321,Melissa Hall,Shac,1645,754
322,Maria Webb,Shac,1526,1788
323,Beatrice Ortiz,Wonders of the World,1728,2588
324,Ashley Doyle,Island of Secrets,1745,1541
325,Helen Hernandez,Lord of the Rings,1692,3805
326,Charles Johnson,Glass Castle,1878,3697
327,Edward May,Book of Miracles,1742,186
328,Leah Manning,Black Cat,1611,3028
329,Victoria Brown,Midnight Serenade,1679,2028
330,James Ross,Glass Castle,2003,1989
331,Richard Garcia,Emerald Isle,1822,4836
332,Jeffrey Williams,Kite Runner,1631,1688
333,Teresa Ray,Secret Garden,1973,1784
334,Beatrice Ortiz,Shadow of the Moon,1741,299
335,Erin Gonzales,Midnight Carnival,1953,1209
336,Edward May,Midnight Garden,1989,4480
337,Nancy Horton,Emerald City,1894,2620
338,Ella Harrison,Da Vinci Code,1895,1845
339,William Ortiz,Lovely Bones,1631,3990
340,Sherry Bennett,Curse of the Pharaohs,1759,577
341,Mary Graham,Dragon's Eye,1668,4856
342,Alberto Brown,Curse of the Pharaohs,1951,2997
343,Patrick Hall,Wonders of the World,1699,4623
344,Tracey Walker,Time Traveler's Wife,1656,637
345,Patricia Meyer,Silver Lining,1565,2022
346,Rita Powell,Forbidden Forest,1567,1721
347,Delores Brown,Shadows of the Night,1853,3502
348,Nancy Horton,Forbidden Forest,1796,3739
349,Jeffrey Williams,Mirror of Truth,1554,1373
350,Lydia Martinez,Mirror of Truth,1821,2906
351,Jacqueline Brown,Ruby Red Door,1774,3370
352,Laura Hernandez,Crown of Thorns,1833,4561
353,Sherry Bennett,Kite Runner,1931,1052
354,Wendy Walton,Enigma of Love,1827,3211
355,Michelle Johnson,Girl with the Dragon Tattoo,1873,4771
356,Ted Smith,Witching Hour,1701,1183
357,Michael Martinez,Song of Achilles,1806,952
358,Mary Graham,Midnight Serenade,1525,453
359,Kevin Ellis,Dark Tower,1749,4247
360,Kenneth May,Hunger Games,1982,3984
361,Dana Huff,Midnight Garden,1741,1259
362,Albert Mills,Lighthouse Keeper,1657,2349
363,Alberto Brown,Song of Ice and Fire,1678,2673
364,Wayne Morrison,Art of Deception,1720,580
365,Ann Henderson,Lighthouse Keeper,1870,4269
366,Kevin Ellis,Witching Hour,1535,3458
367,Patrick Hall,Girl with the Sapphire Eyes,1734,2446
368,Bernard Brown,Silent Forest,1775,2061
369,Lisa Rios,Sands of Time,1895,4864
370,Jessie Bowman,Echoes of the Past,1772,1025
371,Lauren Holland,Road,1953,983
372,Michael Patterson,Ruby Red Door,1544,2188
373,Delores Brown,Sands of Time,1999,3900
374,William Doyle,Girl with the Sapphire Eyes,1914,4631
375,Albert Mills,Dragon's Lair,1945,1467
376,Thomas Cain,Secret Garden,1786,772
377,Kevin Ellis,Heart of the Forest,1935,129
378,Patricia Meyer,Silence of the Lambs,1960,2280
379,Robert Barrett,Blood of Our Fathers,1838,1518
380,Albert Mills,Lovely Bones,1519,3971
381,Lisa Rios,Da Vinci Code,1626,2026
382,Michelle Wis,Wonders of the World,1905,1499
383,Ella Harrison,Moonlit Path,1770,2365
384,Rosemary Wright,Clockwork Angel,1512,3218
385,Daniel Craig,Queen's Necklace,1612,4701
386,Randy Parker,Lost City of Atlantis,2009,4788
387,Erin Gonzales,Witch of Blackbird Pond,1884,2762
388,Carole Kelly,Glass Castle,1664,3918
389,Daniel Craig,Pirate's Treasure,1782,1912
390,Ted Smith,Rising Sun,1663,4111
391,Ernest Torres,Song of Ice and Fire,1659,3738
392,Connie Howell,Knight's Code,1519,1851
393,Jessie Bowman,Enigma of Love,1929,1813
394,Mary Abbott,Witching Hour,1549,2608
395,Michelle Johnson,Island of Secrets,1922,1380
396,Juan Thompson,Rising Sun,1839,2801
397,Diane Robbins,Shades of Grey,1525,3299
398,Paul White,Midnight Garden,1655,2884
399,Howard Jenkins,Enchanted Castle,1901,1307
400,Ernest Torres,Lighthouse Keeper,1600,4108
401,Deanna Owens,Moonlit Path,1773,4639
402,Michael Martinez,Knight's Code,1834,3103
403,Mary Abbott,Martian,1551,1493
404,Carole Kelly,Shadow of the Moon,1653,882
405,Eric Davis,Knight's Code,1506,1636
406,Ann Henderson,Secret Society,1972,2117
407,Teresa Ray,Last Voyage,1561,4901
408,Rosemary Wright,Tears of a Clown,1781,3684
409,Cindy Gilbert,Golden Child,1899,3267
410,Teresa Ray,Phantom of the Opera,1608,3541
411,Dana Huff,Dark Tower,1954,3468
412,Lisa Rios,Lost Kingdom,1824,1197
413,Teresa Ray,Witch of Blackbird Pond,1847,2692
414,Helen Hernandez,Night Circus,1924,3324
415,Erin Gonzales,Sands of Time,2004,2656
416,Robert Barrett,Book Thief,1754,3548
417,Connie Howell,Curse of the Pharaohs,1738,2121
418,Rosemary Lucas,Great Gatsby,1513,1913
419,Jacqueline Brown,Witching Hour,1836,1524
420,Michael Martinez,Island of Secrets,1660,3191
421,Rosemary Wright,Lost Kingdom,1836,2935
422,Erin Gonzales,Midnight Garden,1681,369
423,Lisa Rios,Martian,1508,4858
424,Jeffrey Bowers,Blood of Our Fathers,1629,4967
425,Kimberly Medina,Lost Kingdom,1801,4847
426,Gary Johnson,Golden Compass,1763,2784
427,Thomas Simmons,Fault in Our Stars,1740,323
428,Patricia Simpson,Golden Child,1572,875
429,Erin Gonzales,Book Thief,1569,4797
430,Lisa Rios,Forbidden Forest,1836,3490
431,Deanna Owens,Blood Red Rose,1864,4044
432,Eva Wright,Secret Garden,1604,278
433,Anthony Lee,Girl on the Train,1854,908
434,Michelle Johnson,Alchemist,1581,1462
435,Michael Martinez,Last Train Home,1616,3013
436,Diana Terry,Last Voyage,1567,2804
437,Lisa Rios,Shadow of the Moon,1977,3793
438,Rita Powell,Whispers in the Dark,1807,3627
439,Jacqueline Brown,Silent Forest,1924,2605
440,Eva Wright,Forgotten Realm,1722,4464
441,Judy Rose,Mask of Deception,1908,3241
442,Patrick Hall,Golden Child,1891,2962
443,Victor Davis,Book Thief,1820,4140
444,Michael Smith,Fault in Our Stars,1913,961
445,Patricia Meyer,Secret Society,1900,1394
446,Victoria Brown,Silver Lining,1648,3170
447,Virginia Jackson,Midnight Garden,1807,4059
448,Carole Kelly,Dark Tower,1901,4623
449,Sandra Craig,Secret Life of Bees,1869,4549
450,Timothy Griffin,Lord of the Rings,1576,4058
451,Leah Manning,Road,1692,3243
452,Tyrone Evans,Giver,1642,4314
453,Patricia Meyer,Mask of Deception,1789,2969
454,Leah Manning,Song of Ice and Fire,1656,1337
455,Lisa Rios,Midnight Garden,1582,3911
456,Lydia Martinez,Forgotten Realm,1921,849
457,Patrick Hall,Time Traveler's Wife,1644,750
458,Diana Terry,Whispering Wind,1879,1734
459,Leonard Stevenson,Clockwork Angel,1903,4186
460,Beatrice Ortiz,Last Train Home,1947,977
461,Victoria Brown,Shades of Grey,2009,1403
462,Nancy Horton,White Queen,1714,1007
463,Tracey Walker,Time Traveler's Wife,1520,1508
464,Melissa Hall,Emerald City,1978,936
465,Paul White,Island of Secrets,1933,3694
466,Jeffrey Williams,Beneath the Silver Moon,1594,2081
467,Albert Mills,Kite Runner,1787,1687
468,Delores Brown,Mask of Deception,1676,3117
469,Ernest Torres,Girl on the Train,1744,3790
470,Charles Johnson,Shades of Grey,1795,2438
471,Mary Abbott,Fault in Our Stars,1856,2331
472,Carole Kelly,Island of Secrets,1574,1167
473,Wilma Jackson,Island of Secrets,1804,3541
474,Virginia Jackson,Beneath the Silver Moon,1941,2969
475,Ann Henderson,Tears of a Clown,1546,3611
476,Kevin Ellis,Book Thief,1620,2087
477,Patricia Simpson,Knight's Code,1860,2117
478,William Hamilton,Phantom of the Opera,1851,118
479,Alberto Brown,Heart of the Forest,1937,3968
480,Thomas Simmons,Beneath the Silver Moon,1884,2131
481,Derrick Brady,Lovely Bones,1764,3544
482,Judy Rose,Pirate's Treasure,1963,4948
483,Sandra Craig,Sands of Time,1748,2969
484,Ashley Doyle,Shades of Grey,1847,1908
485,Michael Smith,Midnight Serenade,1867,2245
486,Michelle Johnson,Glass Castle,1792,1384
487,Frances Rose,Enchanted Castle,1649,2716
488,Tyrone Evans,Enigma of Love,1861,3359
489,Diana Terry,Midnight Garden,1854,4657
490,Delores Brown,Echoes of the Past,1535,1554
491,Megan Knight,Sands of Time,1694,3153
492,Juan Thompson,Knight's Code,1872,3018
493,Alberto Brown,Book of Miracles,1837,3032
494,Paul Graham,Blood of Our Fathers,1715,4943
495,Carole Kelly,Knight's Code,1777,1695
496,Kenneth May,Tears of the Moon,1895,871
497,William Ortiz,Song of Ice and Fire,1583,1705
498,Gregory Gibbs,Valley of Dreams,1693,3586
499,Hazel Greer,Secret Life of Bees,1587,1489
500,Kenneth May,Time Traveler's Wife,1672,2791
501,Diane Robbins,Girl with the Dragon Tattoo,1891,2068
502,Victoria Brown,Twist of Fate,1735,1666
503,Patricia Meyer,Girl on the Train,1805,997
504,James Ross,Warrior's Heart,1682,885
505,Rosemary Wright,Golden Compass,1725,1236
506,Wilma Jackson,Twist of Fate,1870,1830
507,Tyrone Evans,Queen's Gambit,1901,3300
508,Frances Rose,Valley of Dreams,1931,2314
509,Mary Abbott,Shades of Grey,1566,4921
510,Randy Parker,White Queen,1875,3238
511,Wayne Morrison,Enchanted Princess,1798,2784
512,Leonard Stevenson,Enchanted Castle,1779,751
513,Paul Graham,Curse of the Pharaohs,1846,3106
514,William Doyle,Lighthouse Keeper,1626,1765
515,Carole Kelly,Lost City of Atlantis,1821,1621
516,Ella Harrison,Silver Lining,1851,1718
517,Albert Mills,Sands of Time,1706,4310
518,Maria Webb,Warrior's Heart,1790,1556
519,Randy Parker,Queen's Gambit,1548,2651
520,Judy Rose,Book Thief,1632,4418
521,Albert Mills,Road,1740,2331
522,Janet Baldwin,Girl with the Dragon Tattoo,1580,2401
523,Mary Graham,Echoes of the Past,1709,3519
524,John Thomas,Curse of the Pharaohs,1561,4730
525,James Ross,Song of Ice and Fire,1936,4295
526,Patricia Meyer,Emerald City,1683,1752
527,Michelle Johnson,Moonlit Path,1818,1099
528,William Ortiz,Book Thief,1980,2882
529,Emily Moore,Silence of the Lambs,1970,3506
530,Richard Freeman,Secret Key,1641,3894
531,Eva Wright,Maze Runner,1572,3154
532,Jeffrey Bowers,Time Traveler's Wife,1606,2648
533,Anthony Davis,Road,1814,1711
534,William Hamilton,Enchanted Princess,1745,2267
535,Emily Moore,Ruby Red Door,1734,1438
536,Jeffrey Williams,Mists of Avalon,1516,3046
537,Jeffrey Bowers,Enigma of Love,1953,4991
538,Edward May,Mirror of Truth,1845,4398
539,Hazel Greer,Twist of Fate,1616,3374
540,James Hill,Midnight Carnival,1729,2089
541,Lisa Rios,Edge of Tomorrow,1749,1598
542,John Ryan,Lost Kingdom,1909,1466
543,Michelle Johnson,Dance with Destiny,1623,2690
544,William Doyle,Midnight Serenade,1642,2205
545,Rosemary Wright,Witch of Blackbird Pond,1677,2608
546,Victoria Brown,Emerald City,1503,3155
547,Judy Rose,Moonlit Path,1792,3907
548,Kevin Ellis,Beneath the Silver Moon,1844,4788
549,Michelle Johnson,Golden Child,1979,2540
550,Anthony Lee,Emerald City,1859,204
551,Eric Davis,Dragon's Lair,1864,1117
552,Anthony Davis,Twist of Fate,1515,434
553,Michelle Johnson,Whispers in the Dark,1566,1630
554,Richard Garcia,Crown of Thorns,1730,4732
555,Laura Hernandez,Echoes of the Past,1518,4800
556,Jeffrey Bowers,Secret Garden,1866,3431
557,Edward May,Road,1707,2120
558,Michael Patterson,Queen's Gambit,1896,4866
559,Wilma Jackson,Glass Castle,1936,3499
560,Lisa Rios,Echoes of the Past,1964,2353
561,Judy Rose,Lost City of Atlantis,1878,2400
562,William Hamilton,Enigma of Love,1552,3651
563,Ashley Doyle,Hunger Games,1576,3388
564,Derrick Brady,Great Gatsby,1608,678
565,Carol Sullivan,Wonders of the World,1842,1786
566,Judy Rose,Twist of Fate,1700,3542
567,Lisa Rios,Girl with the Dragon Tattoo,1957,2849
568,Tracey Walker,Song of Achilles,1865,600
569,Bernard Brown,Road,1578,1519
570,Albert Mills,Moonlit Path,1831,1828
571,Victoria Brown,Crystal Caves,1728,278
572,Robert Evans,Crown of Thorns,1948,3038
573,Timothy Griffin,Edge of Tomorrow,1725,353
574,Lisa Rios,Road,2020,892
575,Kenneth May,Time Traveler's Wife,1724,2204
