,Author,Books,Year Published,Pages
102,Sherry Bennett,Girl with the Sapphire Eyes,1829,1568
103,Melissa Hall,Island of Secrets,1938,105
104,Derrick Brady,Golden Compass,1761,4212
105,Maria Webb,Lord of the Rings,1740,1834
106,Linda Ward,Wonders of the World,1573,1896
107,James Hill,Golden Compass,1717,1652
108,Connie Howell,Mists of Avalon,1556,4500
109,Gregory Gibbs,Queen's Gambit,1669,2996
110,Cindy Gilbert,Mask of Deception,2018,1269
111,Anthony Davis,Valley of Dreams,1998,4392
112,Gary Johnson,Ruby Red Door,1680,1000
113,Sherry Bennett,Island of Secrets,1809,471
114,Howard Jenkins,Handmaid's Tale,2000,2256
115,John Thomas,Secret Society,1944,3166
116,Rosemary Lucas,In the Arms of the Sea,1554,1653
117,Teresa Ray,Dragon's Roar,1970,1783
118,Lydia Martinez,Help,1943,4534
119,Michael Smith,Golden Child,1800,1201
120,Tracey Walker,Knight's Code,1833,129
121,Howard Jenkins,Maze Runner,1674,1545
122,Christine Miles,Dark Tower,1895,181
123,Patricia Meyer,Crown of Thorns,1561,1290
124,Jacqueline Brown,Secret Garden,1807,3851
125,Virginia Jackson,Fault in Our Stars,1683,4780
126,Diane Robbins,Secrets We Keep,1717,1957
127,Lauren Holland,Crown of Thorns,1562,832
128,Erin Gonzales,Fault in Our Stars,1604,3689
129,Connie Howell,Dragon's Roar,1512,1898
130,Janet Baldwin,Girl with the Dragon Tattoo,1662,2828
131,Leah Manning,Twist of Fate,1932,3081
132,Diana Terry,Road,1872,4133
133,Leonard Stevenson,Island of Secrets,1919,4973
134,Daniel Craig,Beyond the Horizon,1851,4726
135,Anthony Davis,Mists of Avalon,2017,3226
136,Lydia Martinez,Heart of the Forest,1841,2871
137,Ann Henderson,Girl on the Train,1943,1666
138,Gregory Gibbs,Beneath the Silver Moon,1594,4859
139,Daniel Craig,Golden Compass,1913,2167
140,Patricia Simpson,Golden Compass,1739,1984
141,Richard Freeman,Lord of the Rings,1963,2491
142,Anthony Davis,Island of Secrets,1524,2453
143,Leah Manning,Book Thief,1762,4000
144,Deanna Owens,Silver Lining,1734,4459
145,Richard Garcia,Lighthouse Keeper,2003,1428
146,Michael Smith,Girl with the Sapphire Eyes,1690,493
147,Carole Kelly,Last Train Home,1583,1772
148,Janet Baldwin,Enigma of Love,1593,2640
149,Wendy Walton,Knight's Code,2014,4376
150,Ella Harrison,Fault in Our Stars,1700,4089
151,Albert Mills,Whispering Wind,1875,171
152,Alberto Brown,Secrets We Keep,1870,1658
153,Mary Abbott,Dark Tower,1855,4659
154,Mary Graham,Enchanted Castle,1939,4077
155,Michelle Johnson,Cursed Castle,1735,3389
156,Victoria Brown,Road,1589,1784
157,Frances Rose,Shades of Grey,1986,1528
158,Michelle Wis,Da Vinci Code,1717,955
159,Anthony Davis,Lost Kingdom,1770,414
160,Virginia Jackson,Great Gatsby,1926,3624
161,Barbara Farmer,Girl on the Train,1934,2886
162,Timothy Griffin,Art of Deception,1802,2420
163,Jeffrey Williams,Midnight Carnival,1745,3313
164,Paul Graham,Road,1988,3859
165,Mary Abbott,Golden Child,1589,3491
166,William Ortiz,Island of Secrets,1864,4368
167,Leah Manning,Mask of Deception,2023,1641
168,Connie Howell,Sands of Time,1521,3513
169,Patricia Meyer,Song of Achilles,1960,676
170,Tyrone Evans,Handmaid's Tale,1802,169
171,James Ross,Maze Runner,1790,4992
172,Kenneth May,Queen's Necklace,1952,4181
173,Jessie Bowman,Silver Lining,1735,1700
174,Judy Rose,Enchanted Castle,1934,841
175,Wendy Walton,Enchanted Princess,1731,1162
176,Albert Mills,Edge of Tomorrow,2002,1724
177,Dana Huff,Forgotten Realm,1534,3200
178,Jacqueline Brown,Golden Child,1658,3798
179,Paul White,Kite Runner,1873,4197
180,Deanna Owens,Blood of Our Fathers,1808,3648
181,Christine Miles,Maze Runner,1854,3185
182,Thomas Cain,Rising Sun,1635,1038
183,Jacqueline Brown,Dragon's Roar,1970,3174
184,Mary Abbott,White Queen,1690,119
185,Gregory Gibbs,Road,1661,3625
186,Frances Rose,Silver Lining,1548,134
187,Christine Miles,Girl with the Dragon Tattoo,1540,1015
188,Charles Johnson,Enchanted Princess,1953,1607
189,Dana Huff,Dragon's Lair,1937,3996
190,Rosemary Wright,In the Arms of the Sea,1773,4404
191,Randy Parker,Fire Within,1869,4811
192,Janet Baldwin,Book of Miracles,1635,4270
193,Michelle Johnson,Whispering Wind,1885,3080
194,Derrick Brady,Mists of Avalon,1932,4468
195,Gary Johnson,Glass Castle,1913,1641
196,Michelle Wis,Catcher in the Rye,1698,447
197,Eric Davis,Shadow of the Moon,1770,3422
198,Michael Patterson,Witch of Blackbird Pond,1977,2580
199,Eva Wright,Moonlit Path,1802,2583
200,William Ortiz,Fault in Our Stars,1920,1888
201,Michael Martinez,Golden Compass,1921,1233
202,Anthony Davis,Golden Child,1889,1245
203,Rosemary Wright,Moonlit Path,1708,3951
204,Victor Davis,Secret Society,1721,1519
205,William Hamilton,Lighthouse Keeper,1917,2641
206,William Doyle,Last Voyage,1602,2366
207,Robert Barrett,Song of Ice and Fire,1919,2527
208,Wendy Walton,Tears of the Moon,1653,884
209,Beatrice Ortiz,Shades of Grey,1835,191
210,Barbara Farmer,Alchemist,1546,806
211,Lisa Rios,Silver Lining,1514,3886
212,Barbara Farmer,Lovely Bones,1821,2079
213,Sherry Bennett,Rising Sun,1622,1075
214,Tyrone Evans,Island of Secrets,1611,998
215,Paul White,Mask of Deception,1731,4796
216,Patricia Meyer,Fault in Our Stars,2018,3855
217,Rita Powell,Hunger Games,1560,4369
218,Wayne Morrison,Queen's Necklace,1778,2785
219,Teresa Ray,Curse of the Pharaohs,1583,1953
220,Wendy Walton,Tears of a Clown,1666,4150
221,Rita Powell,Blood Red Rose,1625,4039
222,Megan Knight,Da Vinci Code,1725,571
223,Victor Davis,Phantom of the Opera,1955,4537
224,Jeffrey Williams,Lovely Bones,1839,1833
225,Jeffrey Williams,Golden Child,1608,4601
226,Tyrone Evans,Dance with Destiny,1638,3802
227,Diane Robbins,Witch of Blackbird Pond,1782,710
228,Carol Sullivan,Fault in Our Stars,1957,3367
229,Evelyn Smith,Curse of the Pharaohs,1759,4849
230,Frances Rose,White Queen,1774,2500
231,Paul Graham,Handmaid's Tale,1609,3309
232,Eric Davis,Martian,1630,3072
233,John Thomas,Enchanted Princess,1809,4451
234,Hazel Greer,Da Vinci Code,1641,186
235,Deanna Owens,Shac,1580,4385
236,Wayne Morrison,Knight's Code,1686,1124
237,Wilma Jackson,Da Vinci Code,1848,2963
238,Paul White,Secret Key,1935,1462
239,Jeffrey Bowers,Lost City of Atlantis,1952,1806
240,Alberto Brown,Song of Achilles,1605,2946
241,Juan Thompson,Lovely Bones,1686,1370
242,Rosemary Wright,Art of Deception,1763,577
243,Eric Davis,Silent Forest,1832,2832
244,Howard Jenkins,Enchanted Castle,1976,2235
245,Victoria Brown,Dragon's Roar,1956,2305
246,Evelyn Smith,Lost City of Atlantis,1529,4542
247,Patricia Simpson,Silence of the Lambs,1633,412
248,Bernard Brown,Lighthouse Keeper,1775,363
249,Timothy Griffin,Enigma of Love,1942,2461
250,Michael Martinez,Song of Achilles,1563,3414
251,Ernest Torres,Lovely Bones,1555,3936
252,Hazel Greer,White Queen,1978,3806
253,Mary Graham,Queen's Gambit,2010,2927
254,Rita Powell,Secret Key,1509,2782
255,Wayne Morrison,Dragon's Lair,1700,371
256,Leonard Stevenson,In the Arms of the Sea,1725,4619
257,Tyrone Evans,Wonders of the World,1629,1846
258,Wendy Walton,River of Dreams,1571,4753
259,Ted Smith,Shac,1530,939
260,Michelle Johnson,Golden Child,1728,793
261,Jacqueline Brown,Time Traveler's Wife,1593,1817
262,Laura Hernandez,Alchemist,1906,2832
263,Sandra Craig,Midnight Carnival,1537,1000
264,Patricia Simpson,Shadow of the Moon,1797,2694
265,Jeffrey Williams,Lost Kingdom,1722,2574
266,Alberto Brown,Dragon's Eye,1609,3125
267,Deanna Owens,Black Cat,1848,112
268,Lisa Rios,Art of Deception,1956,858
269,Albert Mills,Last Voyage,1943,1354
270,Helen Hernandez,Lost Kingdom,1905,572
271,James Hill,Handmaid's Tale,1904,485
272,Albert Mills,Forgotten Realm,1764,3275
273,Gary Johnson,Great Gatsby,1617,2225
274,Paul White,River of Dreams,2012,1146
275,Wilma Jackson,Forgotten Realm,1853,4536
276,Erin Gonzales,Mists of Avalon,1648,2150
277,Ann Henderson,Lost City of Atlantis,1668,1964
278,Juan Thompson,Mask of Deception,1719,2459
279,Linda Ward,Last Train Home,1860,4387
280,Ashley Doyle,Lighthouse Keeper,1792,1723
281,Beatrice Ortiz,Secret Key,1803,1292
282,Ted Smith,Witch of Blackbird Pond,1742,820
283,James Hill,Pirate's Treasure,1766,4468
284,Leah Manning,Kite Runner,1658,3490
285,Leonard Stevenson,Shadows of the Night,1653,902
286,Kelly Franklin,Emerald City,1939,3636
287,Beatrice Ortiz,Queen's Necklace,1767,606
288,Virginia Jackson,Dance with Destiny,1831,3385
289,Melissa Hall,Blood of Our Fathers,1737,3059
290,Jessie Bowman,Song of Achilles,1812,2950
291,Wilma Jackson,Midnight Garden,1558,1190
292,Laura Hernandez,Island of Secrets,1842,2734
293,Gregory Gibbs,Blood Red Rose,1579,378
294,Eric Davis,Golden Compass,1951,3872
295,Thomas Cain,In the Arms of the Sea,1524,3634
296,James Ross,Dragon's Eye,1787,3305
297,Evelyn Smith,Forbidden Forest,1838,4213
298,William Hamilton,Island of Secrets,1621,2081
299,Mary Graham,Pirate's Treasure,1857,3669
300,Juan Thompson,Silence of the Lambs,1699,4195
301,Hazel Greer,Queen's Necklace,1719,382
302,Victor Davis,Dance with Destiny,1903,3275
303,Michael Patterson,Song of Achilles,1783,3474
304,Robert Barrett,Great Gatsby,1559,4033
305,Anthony Lee,Lost Kingdom,1634,1329
306,Wendy Walton,Art of Deception,1765,3283
307,Dana Huff,Secret Society,1885,3643
308,Michelle Wis,Rising Sun,1878,227
309,Wendy Walton,Secret Society,1721,1209
310,Eva Wright,Secret Society,1995,2542
311,Gary Johnson,Golden Compass,1946,177
312,Barbara Farmer,Lost Kingdom,1698,4589
313,Sherry Bennett,Catcher in the Rye,1593,2070
314,Leah Manning,Queen's Gambit,1974,323
315,Rosemary Lucas,Enigma of Love,1509,2961
316,Melissa Hall,Emerald Isle,1618,2803
317,Carole Kelly,Blood of Our Fathers,1991,2618
318,Patricia Simpson,Enchanted Princess,1526,1636
319,Delores Brown,Night Circus,1986,3828
320,Judy Rose,Lighthouse Keeper,1624,2211
321,Derrick Brady,Enchanted Princess,1506,3700
322,Paul White,Twist of Fate,1675,205
323,Edward May,Golden Compass,1709,1697
324,Emily Moore,Midnight Garden,1546,2846
325,Paul Graham,Lighthouse Keeper,1620,4122
326,Mary Graham,Time Traveler's Wife,1796,2920
327,Paul Graham,Kite Runner,1526,2061
328,Evelyn Smith,Enchanted Princess,1576,3055
329,William Ortiz,Edge of Tomorrow,1569,485
330,Derrick Brady,Last Voyage,1689,1277
331,Kevin Ellis,Lighthouse Keeper,1805,2782
332,Kimberly Medina,Last Voyage,1759,4257
333,Ann Henderson,Emerald City,1803,967
334,Kevin Ellis,Lovely Bones,1773,1751
335,Robert Barrett,Forgotten Realm,1873,925
336,Wilma Jackson,Forbidden Forest,1517,4423
337,Nancy Horton,Phantom of the Opera,1745,448
338,Albert Mills,Phantom of the Opera,1630,253
339,Kevin Ellis,Echoes of the Past,1615,3615
340,Maria Webb,Song of Achilles,1622,2953
341,Michael Patterson,Midnight Serenade,1924,3842
342,Wendy Walton,Alchemist,1750,1502
343,Thomas Cain,Help,1588,4332
344,Patrick Hall,In the Arms of the Sea,1714,3343
345,Victor Davis,Giver,1929,4530
346,Wilma Jackson,Black Cat,1628,509
347,Jessie Bowman,Art of Deception,1536,2808
348,Wilma Jackson,Last Train Home,1963,1478
349,Mary Graham,Secret Society,1590,1101
350,Thomas Simmons,Forgotten Realm,1689,4935
351,Deanna Owens,Silent Forest,1647,3286
352,Melissa Hall,Silence of the Lambs,1675,3284
353,Erin Gonzales,Girl with the Dragon Tattoo,1601,4888
354,Connie Howell,Forgotten Realm,1548,3933
355,Mary Graham,Night Circus,2007,2178
356,Ernest Torres,Last Train Home,1828,755
357,Sandra Craig,Great Gatsby,1613,2243
358,Teresa Ray,Sands of Time,1514,231
359,Sherry Bennett,Secret Garden,1980,3177
360,Emily Moore,Black Cat,1523,3788
361,Jessie Bowman,Help,1916,2819
362,Wayne Morrison,Forbidden Forest,1663,4435
363,Lydia Martinez,Alchemist,1634,110
364,Jessie Bowman,Whispers in the Dark,1915,3704
365,Nancy Horton,Secret Society,1587,3898
366,Sherry Bennett,Hunger Games,1620,3921
367,Carol Sullivan,Emerald Isle,1889,2620
368,Christine Miles,Dragon's Lair,1679,2448
369,Anthony Lee,Dragon's Roar,1537,1230
370,Paul White,Curse of the Pharaohs,1955,1663
371,Wilma Jackson,Moonlit Path,1879,2764
372,Kenneth May,In the Arms of the Sea,1510,263
373,Victor Davis,Witching Hour,1811,356
374,Paul Graham,Edge of Tomorrow,1698,4758
375,Mary Abbott,Pirate's Treasure,1955,4452
376,Eric Davis,Secrets We Keep,1626,3520
377,Linda Ward,Blood Red Rose,1702,2109
378,Barbara Farmer,Ruby Red Door,1816,1651
379,Wayne Morrison,Maze Runner,1875,3461
380,Richard Garcia,Pirate's Treasure,1543,2358
381,Daniel Craig,Dragon's Lair,1585,1079
382,Rosemary Wright,Alchemist,1899,4716
383,Juan Thompson,Glass Castle,1914,4651
384,Patricia Meyer,Secret Garden,1553,313
385,Melissa Hall,Fault in Our Stars,1698,1312
386,Ann Henderson,Dark Tower,1536,843
387,Charles Johnson,Martian,1948,2648
388,Lydia Martinez,Girl with the Dragon Tattoo,1776,1191
389,Eric Davis,Forbidden Forest,1983,3256
390,Ernest Torres,White Queen,1936,1777
391,Carol Sullivan,Lost Kingdom,1831,3542
392,Maria Webb,Silver Lining,1502,4649
393,Carol Sullivan,Midnight Carnival,1806,112
394,Anthony Lee,Golden Compass,1790,2511
395,Eva Wright,Help,1909,3477
396,Erin Gonzales,In the Arms of the Sea,1933,776
397,Michelle Wis,Catcher in the Rye,1619,4597
398,John Ryan,Midnight Carnival,1766,370
399,William Hamilton,Whispering Wind,1996,2614
400,William Ortiz,Dark Tower,1718,852
401,Christine Miles,Dragon's Lair,1640,1021
402,Hazel Greer,Glass Castle,1710,3478
403,Anthony Lee,Clockwork Angel,1822,517
404,Patricia Meyer,In the Arms of the Sea,1941,3172
405,Sandra Craig,Dragon's Lair,1806,778
406,Jacqueline Brown,Witch of Blackbird Pond,1868,4118
407,Michael Smith,Black Cat,1509,481
408,Michael Patterson,Girl with the Dragon Tattoo,1832,719
409,Richard Freeman,Tears of the Moon,1761,3082
410,Kelly Franklin,Secrets We Keep,1524,2215
411,Carol Sullivan,Knight's Code,1784,2831
412,Eric Davis,Crown of Thorns,1645,4502
413,Kelly Franklin,Da Vinci Code,1653,2411
414,Linda Ward,Mirror of Truth,1568,4384
415,Michelle Johnson,Queen's Gambit,1731,3552
416,Michael Smith,Crown of Thorns,1511,495
417,Mary Graham,Golden Compass,1866,1657
418,Erin Gonzales,Shac,1581,3394
419,Erin Gonzales,Song of Ice and Fire,1948,3424
420,Jeffrey Williams,Help,1528,1899
421,Connie Howell,Midnight Garden,1619,3358
422,Gary Johnson,Blood Red Rose,1994,643
423,Megan Knight,Sands of Time,1760,3898
424,Patricia Simpson,Whispering Wind,1516,684
425,Alberto Brown,Lost City of Atlantis,1745,4563
426,Sherry Bennett,Fault in Our Stars,1852,1494
427,Ann Henderson,Emerald City,1971,3646
428,Richard Garcia,Mists of Avalon,1986,3945
429,Thomas Cain,Fault in Our Stars,1718,2742
430,Wilma Jackson,Heart of the Forest,1674,3393
431,Sherry Bennett,Knight's Code,1619,4632
432,Michelle Wis,Great Gatsby,1599,3652
433,Teresa Ray,Help,1861,4541
434,Gary Johnson,Midnight Serenade,1799,2633
435,Lisa Rios,Phantom of the Opera,1655,1598
436,Derrick Brady,Rising Sun,1893,1684
437,Eric Davis,Beyond the Horizon,1858,3589
438,Frances Rose,Time Traveler's Wife,1904,3626
439,Barbara Farmer,Whispers in the Dark,1822,2816
440,Jacqueline Brown,Book Thief,1770,318
441,Lydia Martinez,Song of Achilles,2002,2500
442,Albert Mills,Alchemist,1597,993
443,Virginia Jackson,Phantom of the Opera,1897,1706
444,Kelly Franklin,Pirate's Treasure,1889,1045
445,Jessie Bowman,Lost Kingdom,1679,1977
446,James Ross,Enchanted Princess,1961,3485
447,Kenneth May,Lost Kingdom,1681,3018
448,Laura Hernandez,Curse of the Pharaohs,1675,4449
449,Richard Garcia,Witching Hour,1942,3946
450,Timothy Griffin,Queen's Gambit,1668,4072
451,Anthony Davis,Shades of Grey,1711,904
452,Derrick Brady,Dark Tower,1982,3906
453,Charles Johnson,Secret Garden,1631,4856
454,Paul Graham,Knight's Code,1995,3793
455,Gregory Gibbs,Book of Miracles,1693,489
456,Michael Smith,Emerald City,1764,1473
457,Eric Davis,Secrets We Keep,1550,3463
458,Carol Sullivan,Secrets We Keep,1710,1027
459,Diana Terry,Da Vinci Code,1909,1066
460,Lydia Martinez,Moonlit Path,1903,754
461,Michael Patterson,Whispering Wind,1681,2414
462,Randy Parker,Martian,1886,587
463,Hazel Greer,Song of Ice and Fire,1501,234
464,Connie Howell,Midnight Garden,1833,1595
465,Richard Garcia,Secret Key,1733,1773
466,Kenneth May,White Queen,1901,4528
467,Robert Evans,Hunger Games,1736,2948
468,Rosemary Wright,Catcher in the Rye,1730,3561
469,Michael Smith,Book Thief,1839,2090
470,Rita Powell,Lovely Bones,1791,2659
471,Connie Howell,Time Traveler's Wife,1983,3900
472,Virginia Jackson,Blood of Our Fathers,1845,3271
473,Daniel Craig,Curse of the Pharaohs,2013,696
474,Ernest Torres,Enchanted Castle,1746,1491
475,Michael Martinez,Rising Sun,1534,513
476,John Thomas,Clockwork Angel,1506,2877
477,Judy Rose,Last Voyage,2009,2135
478,Randy Parker,Beneath the Silver Moon,1618,4372
479,Barbara Farmer,Twist of Fate,1879,4491
480,Mary Abbott,Blood Red Rose,1597,1817
481,Tyrone Evans,Silver Lining,1750,2150
482,Derrick Brady,Shac,1792,4258
483,Edward May,In the Arms of the Sea,1731,823
484,Ernest Torres,Wonders of the World,1771,3541
485,Victor Davis,Lovely Bones,1784,2700
486,Michelle Johnson,Curse of the Pharaohs,1547,4581
487,Victoria Brown,Fault in Our Stars,1793,3853
488,Patricia Meyer,Enigma of Love,1643,1571
489,William Hamilton,Lost Kingdom,1759,4361
490,Ted Smith,Black Cat,2008,3054
491,Tracey Walker,Glass Castle,1562,2546
492,Alberto Brown,Mirror of Truth,1669,2772
493,Jeffrey Williams,Clockwork Angel,1965,1888
494,Wendy Walton,Help,1540,4352
495,Michelle Johnson,Rising Sun,1799,1389
496,Ashley Doyle,Shades of Grey,1657,427
497,Diana Terry,Secret Life of Bees,1726,3289
498,Michelle Wis,Mask of Deception,1612,4346
499,Kelly Franklin,Sands of Time,1819,570
500,Paul White,Blood Red Rose,1583,1344
501,Jessie Bowman,Blood Red Rose,1972,4671
502,William Ortiz,Last Voyage,1518,4418
503,Eric Davis,Giver,1897,3045
504,Richard Garcia,Girl with the Dragon Tattoo,1728,2401
505,Helen Hernandez,Cursed Castle,1712,3308
506,Virginia Jackson,Rising Sun,1849,4157
507,Alberto Brown,Night Circus,1782,1188
508,Carol Sullivan,Fault in Our Stars,1629,3405
509,Michelle Wis,Curse of the Pharaohs,1846,1053
510,Patricia Simpson,Blood of Our Fathers,1870,3052
511,Robert Barrett,Lord of the Rings,1875,2173
512,William Doyle,Fault in Our Stars,1986,4064
513,Charles Johnson,Catcher in the Rye,1965,4809
514,Ann Henderson,Crown of Thorns,1922,2039
515,Melissa Hall,Book of Miracles,1581,578
516,Connie Howell,Lord of the Rings,1552,4031
517,Tyrone Evans,Echoes of the Past,1952,4669
518,Lauren Holland,Shades of Grey,1912,4126
519,Michael Smith,Lighthouse Keeper,1619,1134
520,Jeffrey Bowers,Rising Sun,1729,2895
521,Thomas Cain,Da Vinci Code,1600,4854
522,Juan Thompson,River of Dreams,1781,4177
523,Ann Henderson,Catcher in the Rye,1844,614
524,Robert Evans,Lighthouse Keeper,1834,3008
525,Alberto Brown,Heart of the Forest,1624,3391
526,Barbara Farmer,Shac,2000,1580
527,Edward May,Dragon's Eye,1540,1137
528,Ashley Doyle,Secret Society,1685,2366
529,Thomas Simmons,Witching Hour,1608,2043
530,Patrick Hall,Help,1698,1306
531,Wilma Jackson,Help,1603,2186
532,Lydia Martinez,Secret Garden,1733,510
533,Michelle Wis,Enigma of Love,1701,1638
534,Maria Webb,Lost City of Atlantis,1846,657
535,Thomas Cain,Clockwork Angel,1851,3726
536,Lauren Holland,Whispers in the Dark,1976,3601
537,Eva Wright,Dark Tower,1859,3037
538,Wendy Walton,Girl on the Train,1669,1097
539,Wendy Walton,Phantom of the Opera,1784,4963
540,Robert Barrett,Queen's Gambit,1690,837
541,Emily Moore,Glass Castle,1647,4125
542,Michelle Johnson,Kite Runner,1903,4529
543,Anthony Lee,Warrior's Heart,1983,384
544,Albert Mills,Secret Society,1535,4400
545,Jessie Bowman,Song of Ice and Fire,1738,818
546,Patricia Simpson,Secret Society,1650,4151
547,Howard Jenkins,Queen's Gambit,1598,2855
548,James Ross,In the Arms of the Sea,1922,3839
549,Kevin Ellis,Martian,1983,3024
550,Beatrice Ortiz,Warrior's Heart,1558,2072
551,Sandra Craig,Dragon's Roar,1543,3179
552,Janet Baldwin,In the Arms of the Sea,1612,2331
553,Virginia Jackson,Lord of the Rings,1614,3856
554,William Doyle,Tears of the Moon,1829,628
555,Linda Ward,Secret Key,1592,3556
556,Paul Graham,Enchanted Princess,1862,2013
557,Richard Freeman,Queen's Gambit,1940,3132
558,Wendy Walton,Sands of Time,1587,605
559,Hazel Greer,Queen's Gambit,1609,1744
560,Michelle Johnson,Edge of Tomorrow,1715,3301
561,Anthony Davis,Forgotten Realm,1505,1730
562,James Ross,Catcher in the Rye,1505,4507
563,Anthony Lee,Twist of Fate,1529,538
564,Derrick Brady,Blood Red Rose,1646,937
565,Kevin Ellis,Pirate's Treasure,2010,2038
566,Albert Mills,Beneath the Silver Moon,1565,4526
567,Tyrone Evans,Knight's Code,1878,3666
568,Ashley Doyle,Clockwork Angel,1524,2819
569,Thomas Cain,Midnight Garden,1937,4114
570,Rita Powell,Valley of Dreams,1878,688
571,Lydia Martinez,Fault in Our Stars,1797,692
572,Robert Barrett,Queen's Gambit,1797,4548
573,Helen Hernandez,Knight's Code,1652,611
574,Gary Johnson,Lost Kingdom,1650,904
575,Patricia Simpson,Cursed Castle,1527,2363
